"miRNA","gene","corr"
"hsa-miR-200b-3p","Empty 0",
"hsa-miR-455-5p","Empty 0",
"hsa-let-7g-5p","AHNAK",-0.6097243775593101
"hsa-miR-210","Empty 0",
"hsa-miR-25-3p","ARHGEF37",-0.6146754631671041
"hsa-miR-25-3p","AHNAK",-0.6186195567801793
"hsa-miR-25-3p","ACOX2",-0.6243839424157084
"hsa-miR-25-3p","C5orf53",-0.6172727428680375
"hsa-miR-25-3p","SPON1",-0.6080510671045539
"hsa-miR-25-3p","SETD3",-0.6266098933539292
"hsa-miR-25-3p","TACC2",-0.6304794161801095
"hsa-miR-25-3p","OSBPL5",-0.628574927218967
"hsa-miR-25-3p","CALCOCO1",-0.6115701513634714
"hsa-miR-25-3p","ST5",-0.646033154839436
"hsa-miR-25-3p","PPP2R5A",-0.6377878725064509
"hsa-miR-25-3p","KANK1",-0.6171279351554521
"hsa-miR-25-3p","NFIA",-0.6274352981897667
"hsa-miR-25-3p","PRKAG2",-0.6248976087814828
"hsa-miR-25-3p","ARHGAP1",-0.62530896883086
"hsa-miR-25-3p","RNASE4",-0.6218363615100286
"hsa-miR-25-3p","MEIS1",-0.6104297354791126
"hsa-miR-25-3p","FAM8A1",-0.6640817608958828
"hsa-miR-25-3p","RNF180",-0.6135981575811607
"hsa-miR-25-3p","KIAA0430",-0.6034092273991879
"hsa-miR-25-3p","CBX7",-0.6011990022443814
"hsa-miR-25-3p","SLC25A12",-0.6167700647926322
"hsa-miR-25-3p","CDKL1",-0.6227233115232441
"hsa-miR-25-3p","NEK1",-0.6160091233369962
"hsa-miR-25-3p","ZBTB4",-0.6577891383701611
"hsa-miR-25-3p","CRYM",-0.605389708975795
"hsa-miR-214-5p","Empty 0",
"hsa-miR-142-3p","Empty 0",
"hsa-miR-744-5p","Empty 0",
"hsa-miR-30c-2-3p","Empty 0",
"hsa-miR-28-3p","Empty 0",
"hsa-miR-330-5p","OSR1",-0.6326087218092136
"hsa-miR-330-5p","EVC",-0.6010390188238036
"hsa-miR-330-5p","TACC2",-0.6099742551213654
"hsa-miR-330-5p","CALCOCO1",-0.62061048209227
"hsa-miR-330-5p","ST5",-0.6140426942403873
"hsa-miR-330-5p","TMOD1",-0.6172346260995031
"hsa-miR-330-5p","FAM54B",-0.6237433727337044
"hsa-miR-330-5p","JAKMIP3",-0.6023575121532213
