"Cluster","Gene"
"HSA-MIR-320A","ITGB3"
"HSA-MIR-320A","ABCG2"
"HSA-MIR-324-3P","WNT2B"
"HSA-MIR-324-3P","WNT9B"
"HSA-MIR-328-3P","ABCG2"
"HSA-MIR-329-3P","MCAM"
"HSA-MIR-330-3P","CCBE1"
"HSA-MIR-330-5P","ITGA5"
"HSA-MIR-335-5P","DAAM2"
"HSA-MIR-335-5P","TFF2"
"HSA-MIR-335-5P","ZEB2"
"HSA-MIR-337-5P","HOXB7"
"HSA-MIR-338-3P","SSX2IP"
"HSA-MIR-338-3P","PREX2"
"HSA-MIR-338-3P","ITGB3"
"HSA-MIR-338-3P","ZEB2"
"HSA-MIR-33A-5P","ROS1"
"HSA-MIR-33A-5P","PRKCB"
"HSA-MIR-340-5P","CCND2"
"HSA-MIR-342-3P","TAB3"
"HSA-MIR-34C-5P","GABRA3"
"HSA-MIR-370-3P","TCEAL1"
"HSA-MIR-374A-5P","WIF1"
"HSA-MIR-375","FZD8"
"HSA-MIR-375","PLAG1"
